"","Date","MaxTemp","MinTemp"
"1","06/22/2023",82.4,80.96
"2","07/18/2023",79.88,73.94
"3","07/19/2023",82.76,54.5
"4","07/20/2023",79.88,61.88
"5","07/21/2023",82.4,53.42
"6","07/22/2023",84.2,57.38
"7","07/23/2023",82.76,58.28
"8","07/24/2023",82.94,58.28
"9","07/25/2023",87.62,84.38
